Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
22-Dec,3989.25,1196.77,1/10/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
22-Dec,2215.8,664.74,1/10/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
22-Dec,6690.9,2007.27,1/10/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
22-Dec,2310.5,693.15,1/10/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
22-Dec,3720.25,1116.07,1/10/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
22-Dec,2250.5,675.15,1/10/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
21-Nov,9070.1,2721.03,1/11/2023,"MVRB2, LLC",130 Oakpark Dr Ste A,Mooresville,NC,28115
21-Dec,11413,3423.9,1/11/2023,"MVRB2, LLC",130 Oakpark Dr Ste A,Mooresville,NC,28115
21-Sep,8835.86,2650.75,1/11/2023,"MVRB2, LLC",130 Oakpark Dr Ste A,Mooresville,NC,28115
21-Oct,9442.3,2832.69,1/11/2023,"MVRB2, LLC",130 Oakpark Dr Ste A,Mooresville,NC,28115
22-Dec,854.4,256.32,1/16/2023,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
22-Dec,149935.86,44980.75,1/19/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-May,3955.5,1186.65,6/14/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-May,1512.5,453.75,6/14/2023,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
23-May,1415,424.5,6/14/2023,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
23-May,1124.5,337.35,6/14/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
22-Dec,19548.7,5864.61,1/16/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
22-Dec,3411,1023.3,1/18/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
22-Dec,401.4,120.42,1/20/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
22-Dec,57001.1,17100.33,1/6/2023,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
23-Oct,315.07,94.52,11/13/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
