Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
24-Sep,97881.77,29364.53,10/22/2024,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
24-Oct,1382.25,414.67,11/11/2024,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
24-Oct,1355.25,406.57,11/11/2024,Smoke Island7 inc,4949 Bethesda Ave,Bethesda,Maryland,20814
24-Oct,1362.5,408.75,11/11/2024,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
24-Oct,1356.5,406.95,11/11/2024,smoke island5 inc,211 N. Frederick Ave unit F,Gaithersburg,MD,20877
24-Oct,1586.5,475.95,11/11/2024,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
24-Oct,2159.5,647.85,11/11/2024,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
24-Oct,1348.5,404.55,11/11/2024,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
24-Oct,1804.5,541.35,11/11/2024,smoke island4 inc,12331 Georgia ave unit F,Silver Spring,MD,20906
24-Oct,18029.84,5408.95,11/18/2024,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
24-Oct,2481.52,744.45,11/15/2024,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
24-Oct,2593.57,778.07,11/20/2024,Sheetz Distribution Services LLC,242 Sheetz Way,Claysburg,Pennsylvania,16625
24-Oct,525.2,157.56,11/22/2024,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
